"id","ghId","ghTitle","chapterTopic","conceptIndex","concept","goal","misconception","conceptClusterId"
"gh-01-c01-1db701c5","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","能区分 x、f(x) 和函数规则","把函数看成一个数或一个公式名字","gh-01-c01-1db701c5"
"gh-01-c02-7e280112","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","2","坐标点与函数图像","能把 (x, f(x)) 放到图像上并读横轴纵轴","把图像当装饰，不会从图像读信息","gh-01-c02-7e280112"
"gh-01-c03-06861b2a","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","3","图像的上升、下降与变化方向","能用图像语言描述局部变化趋势","只会代数计算，不会解释图像变化","gh-01-c03-06861b2a"
"gh-02-c01-17ac1cd7","GH-02","极限与连续直觉","极限与连续直觉","1","从数表观察趋近","能从左右取值表判断输出是否趋向同一个数","把等于某点的函数值误认为极限","gh-02-c01-17ac1cd7"
"gh-02-c02-74f5f25c","GH-02","极限与连续直觉","极限与连续直觉","2","图像上的左右极限","能在图像上判断左边靠近和右边靠近","只看一个方向就下结论","gh-02-c02-74f5f25c"
"gh-02-c03-c289e20d","GH-02","极限与连续直觉","极限与连续直觉","3","连续就是不跳断","能说出连续需要趋势和函数值接上","把可画图等同于连续","gh-02-c03-c289e20d"
"gh-03-c01-a7418b6e","GH-03","从平均变化率到导数","从平均变化率到导数","1","平均变化率和割线","能用 delta y / delta x 解释一段变化","只记公式，不知道分子分母代表什么","gh-03-c01-a7418b6e"
"gh-03-c02-68789a80","GH-03","从平均变化率到导数","从平均变化率到导数","2","瞬时变化率和切线","能说明 h 趋近 0 时割线变成切线","把导数当成普通除法","gh-03-c02-68789a80"
"gh-03-c03-d831dd16","GH-03","从平均变化率到导数","从平均变化率到导数","3","导数符号和意义","能解释 f'(x) 与 df/dx 的含义","把导数只看成求公式步骤","gh-03-c03-d831dd16"
"gh-04-c01-5f7cc11a","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","1","幂函数求导","能从 x^n 到 n x^(n-1) 建立最小规则","把指数和系数机械搬动但不会解释","gh-04-c01-5f7cc11a"
"gh-04-c02-c519d72e","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","2","和差积商规则","能判断什么时候用哪条规则","把乘积的导数误写成导数相乘","gh-04-c02-c519d72e"
"gh-04-c03-e65e4deb","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","3","链式法则","能识别外层函数和内层函数","只对最外层求导，漏掉内层变化","gh-04-c03-e65e4deb"
"gh-04-c04-2df9fcde","GH-04","常用求导规则与函数组合","常用求导规则与函数组合","4","常见函数变化速度","能比较多项式、指数、对数、三角函数的变化特点","把所有函数变化速度想成直线","gh-04-c04-2df9fcde"
"gh-05-c01-810f9db1","GH-05","导数应用：单调、极值与弯曲","导数应用：单调、极值与弯曲","1","导函数图像读法","能从 f'(x) 的正负判断原函数升降","把导函数图像当成原函数图像","gh-05-c01-810f9db1"
"gh-05-c02-f22b9650","GH-05","导数应用：单调、极值与弯曲","导数应用：单调、极值与弯曲","2","临界点与极值","能用 f'(x)=0 或不存在寻找候选点","以为导数为 0 一定是最低点","gh-05-c02-f22b9650"
"gh-05-c03-f7092996","GH-05","导数应用：单调、极值与弯曲","导数应用：单调、极值与弯曲","3","二阶变化和凹凸","能用弯曲方向解释局部形状","只看一阶导数，不看弯曲","gh-05-c03-f7092996"
