"id","ghId","ghTitle","topic","conceptIndex","concept","learningModeProfile","representation","contentProfileId","contentProfileLabel","conceptClusterId","systemUse"
"gh-01-c01-1db701c5-intuition_simulation","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","experiment","manipulative","intuition_simulation","直觉操作实验","gh-01-c01-1db701c5","适合需要补充直觉操作证据、提升低交互参与或验证变量关系时调用"
"gh-01-c01-1db701c5-relationship_diagram","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","lecture","relational","relationship_diagram","关系图谱","gh-01-c01-1db701c5","适合需要补充概念关系、表示转换或前后连接证据时调用"
"gh-01-c01-1db701c5-symbolic_bridge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","lecture","symbolic","symbolic_bridge","符号桥接","gh-01-c01-1db701c5","适合需要补充符号含义、公式语言或简答表达证据时调用"
"gh-01-c01-1db701c5-misconception_contrast","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","game","relational","misconception_contrast","误解对比","gh-01-c01-1db701c5","适合需要暴露并对比典型误解、收集纠错解释证据时调用"
"gh-01-c01-1db701c5-error_repair_challenge","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","game","applied","error_repair_challenge","纠错挑战","gh-01-c01-1db701c5","适合需要通过可重试挑战收集纠错过程证据时调用"
"gh-01-c01-1db701c5-micro_practice","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","practice","assessment","micro_practice","微练习确认","gh-01-c01-1db701c5","适合需要快速确认掌握、继续学习前补充检查证据时调用"
"gh-01-c01-1db701c5-transfer_context","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","practice","applied","transfer_context","迁移应用","gh-01-c01-1db701c5","适合需要收集近迁移应用证据时调用"
"gh-01-c01-1db701c5-challenge_experiment","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","experiment","visual","challenge_experiment","挑战实验","gh-01-c01-1db701c5","适合需要收集更高挑战度的操作、比较或边界情况证据时调用"
"gh-01-c01-1db701c5-spatial_or_2d_view","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","experiment","visual","spatial_or_2d_view","空间/二维视角","gh-01-c01-1db701c5","适合需要补充空间视角、二维兜底或可视化理解证据时调用"
"gh-01-c01-1db701c5-teach_back_card","GH-01","函数、坐标与图像读法","函数、坐标与图像读法","1","输入、输出和函数规则","practice","verbal","teach_back_card","讲给同伴听","gh-01-c01-1db701c5","适合需要收集口头化解释、同伴讲解或反例说明证据时调用"
